Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air
005,002,302,202,242,132,102
006,045,302,225,242,132,125
007,045,302,225,242,132,125
009,045,302,225,242,132,125
010,002,302,202,242,132,102
011,002,302,202,242,132,102
012,002,302,202,242,132,102
013,002,302,202,242,132,102
014,003,303,203,243,133,103
015,002,302,202,242,132,102
016,002,302,202,242,132,102
017,003,303,203,243,133,103
018,003,303,203,243,133,103
019,003,303,203,243,133,103
020,003,303,203,243,133,103
021,003,303,203,243,133,103
022,003,303,203,243,133,103
023,003,303,203,243,133,103
024,003,303,203,243,133,103
025,003,303,203,243,133,103
026,003,303,203,243,133,103
027,003,303,203,243,133,103
028,003,303,203,243,133,103
029,003,303,203,243,133,103
030,003,303,203,243,133,103
031,003,303,203,243,133,103
032,003,303,203,243,133,103
033,003,303,203,243,133,103
034,003,303,203,243,133,103
035,003,303,203,243,133,103
036,003,303,203,243,133,103
037,003,303,203,243,133,103
038,003,303,203,243,133,103
039,003,303,203,243,133,103
040,003,303,203,243,133,103
041,003,303,203,243,133,103
042,003,303,203,243,133,103
043,004,304,204,244,134,104
044,004,304,204,244,134,104
045,004,304,204,244,134,104
046,004,304,204,244,134,104
047,004,304,204,244,134,104
048,004,304,204,244,134,104
049,004,304,204,244,134,104
050,003,303,203,243,133,103
051,003,303,203,243,133,103
052,002,302,202,242,132,102
053,002,302,202,242,132,102
054,003,303,203,243,133,103
055,003,303,203,243,133,103
056,003,303,203,243,133,103
057,003,303,203,243,133,103
058,003,303,203,243,133,103
059,003,303,203,243,133,103
060,002,302,202,242,132,102
061,002,302,202,242,132,102
062,002,302,202,242,132,102
063,002,302,202,242,132,102
064,002,302,202,242,132,102
065,002,302,202,242,132,102
066,002,302,202,242,132,102
067,002,302,202,242,132,102
068,002,302,202,242,132,102
069,002,302,202,242,132,102
070,002,302,202,242,132,102
071,002,302,202,242,132,102
072,002,302,202,242,132,102
073,002,302,202,242,132,102
074,002,302,202,242,132,102
075,002,302,202,242,132,102
076,002,302,202,242,132,102
077,002,302,202,242,132,102
078,002,302,202,242,132,102
079,002,302,202,242,132,102
080,002,302,202,242,132,102
081,002,302,202,242,132,102
082,002,302,202,242,132,102
083,002,302,202,242,132,102
084,002,302,202,242,132,102
085,002,302,202,242,132,102
086,002,302,202,242,132,102
087,002,302,202,242,132,102
088,002,302,202,242,132,102
089,002,302,202,242,132,102
100,002,302,202,242,132,102
101,002,302,202,242,132,102
102,002,302,202,242,132,102
103,002,302,202,242,132,102
104,002,302,202,242,132,102
105,002,302,202,242,132,102
106,002,302,202,242,132,102
107,002,302,202,242,132,102
108,002,302,202,242,132,102
109,002,302,202,242,132,102
110,002,302,202,242,132,102
111,002,302,202,242,132,102
112,002,302,202,242,132,102
113,002,302,202,242,132,102
114,002,302,202,242,132,102
115,002,302,202,242,132,102
116,002,302,202,242,132,102
117,002,302,202,242,132,102
118,002,302,202,242,132,102
119,002,302,202,242,132,102
120,002,302,202,242,132,102
121,002,302,202,242,132,102
122,002,302,202,242,132,102
123,002,302,202,242,132,102
124,002,302,202,242,132,102
125,002,302,202,242,132,102
126,002,302,202,242,132,102
127,002,302,202,242,132,102
128,003,303,203,243,133,103
129,003,303,203,243,133,103
130,003,303,203,243,133,103
131,003,303,203,243,133,103
132,003,303,203,243,133,103
133,003,303,203,243,133,103
134,003,303,203,243,133,103
135,003,303,203,243,133,103
136,003,303,203,243,133,103
137,002,302,202,242,132,102
138,002,302,202,242,132,102
139,002,302,202,242,132,102
140,003,303,203,243,133,103
141,003,303,203,243,133,103
142,003,303,203,243,133,103
143,003,303,203,243,133,103
144,003,303,203,243,133,103
145,003,303,203,243,133,103
146,003,303,203,243,133,103
147,003,303,203,243,133,103
148,002,302,202,242,132,102
149,002,302,202,242,132,102
150,004,304,204,244,134,104
151,004,304,204,244,134,104
152,004,304,204,244,134,104
153,004,304,204,244,134,104
154,003,303,203,243,133,103
155,003,303,203,243,133,103
156,003,303,203,243,133,103
157,003,303,203,243,133,103
158,003,303,203,243,133,103
159,003,303,203,243,133,103
160,003,303,203,243,133,103
161,003,303,203,243,133,103
162,003,303,203,243,133,103
163,003,303,203,243,133,103
164,004,304,204,244,134,104
165,004,304,204,244,134,104
166,003,303,203,243,133,103
167,003,303,203,243,133,103
168,003,303,203,243,133,103
169,003,303,203,243,133,103
170,002,302,202,242,132,102
171,002,302,202,242,132,102
172,002,302,202,242,132,102
173,002,302,202,242,132,102
174,002,302,202,242,132,102
175,002,302,202,242,132,102
176,002,302,202,242,132,102
177,002,302,202,242,132,102
178,002,302,202,242,132,102
179,002,302,202,242,132,102
180,002,302,202,242,132,102
181,002,302,202,242,132,102
182,002,302,202,242,132,102
183,002,302,202,242,132,102
184,002,302,202,242,132,102
185,002,302,202,242,132,102
186,002,302,202,242,132,102
187,002,302,202,242,132,102
188,002,302,202,242,132,102
189,002,302,202,242,132,102
190,002,302,202,242,132,102
191,002,302,202,242,132,102
192,002,302,202,242,132,102
193,002,302,202,242,132,102
194,002,302,202,242,132,102
195,002,302,202,242,132,102
196,002,302,202,242,132,102
197,002,302,202,242,132,102
198,002,302,202,242,132,102
199,002,302,202,242,132,102
200,003,303,203,243,133,103
